Title	Price	Link
Used gaming pc with nvidia geforce rtx 3050  and intel core i7	$400.57	https://www.ebay.com/itm/236025982082?_skw=%24gtx+3050&hash=item36f43eac82:g:1jYAAeSwu3Bn51Lt&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cVWtD%2FBXZPdW%2BWCXrurzQkb6g%2FE%2F6UQqSOEPnyH8l%2FRqO5HtITxmxRFzikmZHOk6iKPwr2n7VpFdBq6S%2Bf19jazfcDOIjsp1oiUYxh1jJEHjziYxFosyOdVQB%2ByA5D0V9zXT8AImayR%2F8zobeys5ArWhbDWF8%2BShnqp9vPSuHxsCtEBQL0h6xC9cCufThNx%2BAPIfSChXQq7hQtoUnyhWyCjtSAqfrn4S4TBH632pW1Dk5rn%2BrzqNOC%2Fu4S6yvaK04J%2FHHxVcZ44xtnTERDCT66rH5AAvO%2FfLsyLz2AHwYwyw%3D%3D%7Ctkp%3ABk9SR8S27MjYZQ
M54821-601 For HP VICTUS16-D Motherboard DAG3MMB3AA0 With I5-11260H + GTX1650 4G	$239.97 to $316.59	https://www.ebay.com/itm/286402280894?_skw=%24gtx+3050&hash=item42aee7fdbe:g:JHgAAOSwSaRn0Nd8&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dacL%2FJly7GHyVe6gudvjB7Dd2Yo%2FBWM291V%2BYrGn548a7bpU5GpZ09BkkbDhw%2FACZayMdnKBRdBOFCLfzEqP8qFdFmSBx%2BORgdqxe59SqUGHV9XYtyTB5M%2FiUcwqyokt3LDo7Cc9gb4WUWW%2BIgYluMJCgG0tPcMq9eYVE8tlf9RQPkGpV0sNOKbQbPxJCrEegnIybEQXDSboOFetFl2XZFHp4Vt034bLVLjN2P7SFdlOcaLIRR7f61K5zx7MBBl9S4tXUJgnmFDFLTZ5wttVyK%7Ctkp%3ABk9SR8S27MjYZQ
For Lenovo ideapad Gaming 3-15ACH6 Motherboard R7-5800H R5-5600H RTX3050 GTX1650	$415.89 to $559.18	https://www.ebay.com/itm/388086582352?_skw=%24gtx+3050&hash=item5a5bc34c50:g:HR0AAOSwAaJn1TlR&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1e6%2F45O4x3G9r4As81Wow0%2FFkHkknJGVPLtJILtos6Apsyuc2XoaquX7iiHRUZ4CSPip3%2BOGCoUcWONOUFzS3FS%2F2R%2FoQQA%2BsxDBMJCT%2F8e3YAcUohLM0doJqVqyVWK6X6Zvwbz3NK0vdDrmUaJ98eBDLOTYLC2lIiwRprbe7QzfkQkSpMiJx5jm5OosNcY5DE2zDmaRRmSdgbW4O1CdJtgDtCrPa%2BwDrHdKlW0e%2BX8hw%3D%3D%7Ctkp%3ABk9SR8a27MjYZQ
MS-17K2 FOR MSI GE76 GP76 GTX3050 CPU Graphics Heatsink Cooler Cooling Fan	$128.00	https://www.ebay.com/itm/314524483315?_skw=%24gtx+3050&hash=item493b1ebef3:g:1RAAAOSwNyNkOaMd&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fEQBavEK1lwJAgHdGEpbezVhsHRIEiy%2FoEq0WmFYTFdyLpQ3Jtz5XZKKfUTzcXq6SfJmhDR9ZTyT%2Fob8VhShh%2BQEWlfBPVE8c5rnLhWjrN9BrKQQdDcv7A%2B8tuIu%2F5NpZNA%2B0%2B%2BVbwkQm0z2dkHkxMq6I4v5JDoMRBmzcOYRJUUQmZGzfyLaDYALMquvvvYTKCeqX6s4%2FbvwUZvIkCIiJNYet77gia3qK2L%2FTVsGkVItnHW%2B21Bfj0XI6BKG4dAf0%3D%7Ctkp%3ABk9SR8a27MjYZQ
LA-L161P For Lenovo IdeaPad Gaming 3-15IHU6 Motherboard I5 I7 11th Gen RTX3050	$298.76 to $541.11	https://www.ebay.com/itm/365265841179?_skw=%24gtx+3050&hash=item550b8a6c1b:g:TbIAAOSwvY1nTsrI&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eFA0JtMnIJVY%2B7pOCr81rwffsWl9LQpJU9uME7diRi6ECdpgy8m8wSR42TweiArkoAWXn0fcOUuLUIbDs236nYDqPNnBOpQeQkWZyQ0mabjUMShwnxhk%2FO8t%2BD5JwKP9Dsdt%2FMgocgh3jfZdGRqSUqtiUdV6%2F7FjVwVzcuTi6PTaC2MfoKEa9JHdHyihbOzSLi4i7ICLhm9MPoSx%2FSVyevqMMm69ehscQns9kf6qKkbkteBpjl4%2BYV2F4AqS34bcKm%2BElcgL%2BKlhPbpec2%2BuLz%7Ctkp%3ABk9SR8a27MjYZQ
LA-K861P for Acer Nitro 5 AN515-55 Laptop Motherboar i5 /i7 CPU test OK	$392.33 to $578.33	https://www.ebay.com/itm/356435235930?_skw=%24gtx+3050&hash=item52fd32145a:g:HykAAOSwWk5neVF8&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1drTvUH0WXJAjVZOBc4y%2F9a%2BC%2FBIJVJX%2BFiad4lBKeJebqGTe0ig%2F6T%2BVc%2FZAYUBqwKn%2F0%2BNc%2BB8EQsQlqZT8STLcJR4u%2FC01X1TjNBPnVFLOAD1sPsvy9CXD2G%2BWWBoP9odw5%2FeLyM%2FHQvOUIDHiHL1D0X%2BhzrRCrcbOHAxWXp6JnJHKWxP6e%2FH5vm0KwM0N4zFwaKFvpH%2F%2B4ii%2F9sU8DVRB79n%2BmGuiNLYbMwxDSJuh70XBdy1AjnQ8%2BQxa%2FrBr5JXoRJGfzlHXkV%2FOtK4eva%7Ctkp%3ABk9SR8a27MjYZQ
X7400PC 8G/16G For ASUS Vivobook Pro X7400PC Motherboard，i5 i7 RTX3050 GTX1650Ti	$240.00 to $530.00	https://www.ebay.com/itm/286422716421?_skw=%24gtx+3050&hash=item42b01fd005:g:U1cAAOSwptJn22U~&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1ce%2B6SWlBApb%2FrZR%2FPNGn1z5zIkvUR%2FMGveuMsPzTPtLk97gQXUGArK3S%2FZkc9q033YLvjGCadhs85G6tcLSJDbFrPDvbGIP2LJy46IbjXXk3OGRAd9FZupiAHa8ZpThrirDTqTog%2Fbb62ywLrdIKFACTD9Cac8bFaF7%2FYOniKss4aWUxT3vv7KzOjHfuzJN9gdfzBAkuwCVhgewPAwvByIaQ06nWS2zp27U4MrHHm0gDYSdXrLy4AZkCgfzCLVsMgQH7wvnUavfquGzSOYzTaz%7Ctkp%3ABk9SR8a27MjYZQ
For Lenovo ideapad Gaming 3-15ACH6 Motherboard R5-5600H R7-5800H GTX1650 RTX3050	$415.06 to $550.40	https://www.ebay.com/itm/365179243214?_skw=%24gtx+3050&hash=item5506610ace:g:S2IAAOSwpaRnDjdk&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fqkMLesqoorUPheWnoo4I%2BqreLi5PQnFLx%2Fg%2FEHH3gtwrshT3LGFSkQJQ088Ud%2B5H2b29DcwS2yOkx9GXTNBkc%2BmyxhUPtNPw%2Fj%2B05cavQ23Eov4%2BIa6Al%2F5AJsMDKoatS9felUu%2FBX0alk%2FigR%2BaunDlsJNJOeImnm%2Fz%2Bo9OXeN2Az2TopqCDYjbFjfH9PSHm2i7PQ6A%2FOObW8CdyK8KQWVVHhc4VYvQ2wOYihPoX6w%3D%3D%7Ctkp%3ABk9SR8a27MjYZQ
Asus Pro15 K6500ZC K6500ZE K6500ZH 16GB I5 I7 12th RTX 3050 3050TI Motherboard	$235.00 to $355.00	https://www.ebay.com/itm/167338714589?_skw=%24gtx+3050&hash=item26f62a25dd:g:Em4AAOSwfphm6PSB&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fwH3fap1vREQfXwlO%2FgY4hAGNU5zzH9dXMGbH3rxC4alWGC%2BJsnLPeToHdxB2NPbJmhv5VHtKCgDjOhZopu95rsGlYch05tup9H0%2B4bmmdGqoct8L%2BctI9nhwxgW9wu1wW11Aqgncmy9aLUP5OfoposqG2xev0ZVouwMzKxOyp9M0q04qpQJZcMjZViZA4WTh4nSCRa%2Bz6fos01BTmNWVCOx3fjXU90emXp3WCl05d3TW3hvOccparFWAyRZI1Dqx%2FUbrtGIrZWd6nR3BukX1f%7Ctkp%3ABk9SR8a27MjYZQ
GL753V For ASUS ROG GL753VD GL753VE FX753V Motherboard i5 i7 7th Gen GTX1050	$179.99 to $199.99	https://www.ebay.com/itm/387686925079?_skw=%24gtx+3050&hash=item5a43f10317:g:QGcAAOSwyz5nTqqa&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cxahQnNNsZxgjUmk%2FDo6pBz0mUFD50rNfomL86ELBNDvZf0EKlh1GKM8q6HnulGrWT3MQwfYirS3RKvzxXTN%2F3BCdLG4cAlZ7d1VGNpzxHNlJ%2BYa5Vnc5vO7l6z2SZYoXX%2BylDNezZgFxi46JqHH7yLChA%2BOR%2FTDNkghrgODSIOEmVJ6Wi78Tsf2cc2mcR7N6RBKuVaFNygrVkwMBEOpt1ajr8suDrIWM0bAAzoLr7eA%3D%3D%7Ctkp%3ABk9SR8a27MjYZQ
